date,price
2020-12-01T00:00:00Z,612.2637856122055382
2020-12-02T00:00:00Z,589.5818443540975977
2020-12-03T00:00:00Z,598.7606100958239495
2020-12-04T00:00:00Z,616.5066615656819522
2020-12-05T00:00:00Z,571.1904316349736064
2020-12-06T00:00:00Z,595.9194139680375883
2020-12-07T00:00:00Z,601.9689349244918048
2020-12-08T00:00:00Z,592.3865066820175116
2020-12-09T00:00:00Z,554.3296743023810222
2020-12-10T00:00:00Z,573.8953091099940593
2020-12-11T00:00:00Z,560.4542654076047938
2020-12-12T00:00:00Z,545.9828352633686563
2020-12-13T00:00:00Z,568.3587534073820962
2020-12-14T00:00:00Z,590.3244403029342493
2020-12-15T00:00:00Z,585.5418949360015404
2020-12-16T00:00:00Z,589.0668316450423845
2020-12-17T00:00:00Z,635.9618893796134671
2020-12-18T00:00:00Z,644.0652701929778914
2020-12-19T00:00:00Z,654.4204162965752403
2020-12-20T00:00:00Z,659.3188076372093747
2020-12-21T00:00:00Z,639.5154368778183880
2020-12-22T00:00:00Z,610.4270278980671947
2020-12-23T00:00:00Z,634.9797234431857760
2020-12-24T00:00:00Z,587.9588954992439085
2020-12-25T00:00:00Z,612.8796570505974159
2020-12-26T00:00:00Z,626.4567387784558150
2020-12-27T00:00:00Z,636.7423171944997193
2020-12-28T00:00:00Z,689.6598573269875487
2020-12-29T00:00:00Z,732.9570292975274697
2020-12-30T00:00:00Z,735.5908981625738079
2020-12-31T00:00:00Z,752.8559324490188374
2021-01-01T00:00:00Z,738.6169381520412571
2021-01-02T00:00:00Z,730.1473402196373854
2021-01-03T00:00:00Z,777.6960653039432145
2021-01-04T00:00:00Z,967.0005967288458351
2021-01-05T00:00:00Z,1025.6547675669035016
2021-01-06T00:00:00Z,1103.3582516225742438
2021-01-07T00:00:00Z,1208.5750928728884901
2021-01-08T00:00:00Z,1229.4713150147781562
2021-01-09T00:00:00Z,1223.7296883535275356
2021-01-10T00:00:00Z,1282.9795755273230498
2021-01-11T00:00:00Z,1267.7310031512135993
2021-01-12T00:00:00Z,1092.9143378806063538
2021-01-13T00:00:00Z,1045.4068152304118939
2021-01-14T00:00:00Z,1132.0155910164728539
2021-01-15T00:00:00Z,1216.9147884634555794
2021-01-16T00:00:00Z,1171.8600177046464523
2021-01-17T00:00:00Z,1234.6318700828048804
2021-01-18T00:00:00Z,1229.3796980720069314
2021-01-19T00:00:00Z,1255.9766915132129270
2021-01-20T00:00:00Z,1383.4840902277114765
2021-01-21T00:00:00Z,1385.8529958752583298
2021-01-22T00:00:00Z,1122.9124325373049942
2021-01-23T00:00:00Z,1236.6834427536564363
2021-01-24T00:00:00Z,1231.1763797044709463
2021-01-25T00:00:00Z,1392.5397634449736870
2021-01-26T00:00:00Z,1323.4295031020105853
2021-01-27T00:00:00Z,1355.2337242409989813
2021-01-28T00:00:00Z,1253.1416715586090049
2021-01-29T00:00:00Z,1328.7736190665559661
2021-01-30T00:00:00Z,1380.2842591352105046
2021-01-31T00:00:00Z,1372.4272289642340183
2021-02-01T00:00:00Z,1317.0474362291777197
2021-02-02T00:00:00Z,1368.6644548123774712
2021-02-03T00:00:00Z,1514.2251957516527909
2021-02-04T00:00:00Z,1661.0008243674769801
2021-02-05T00:00:00Z,1587.8008991859367143
2021-02-06T00:00:00Z,1724.8569083393101664
2021-02-07T00:00:00Z,1683.9412978650530022
2021-02-08T00:00:00Z,1608.6405479857196497
2021-02-09T00:00:00Z,1750.9975537192149204
2021-02-10T00:00:00Z,1769.0535339345990451
2021-02-11T00:00:00Z,1739.1642090048360387
2021-02-12T00:00:00Z,1782.5088691218522854
2021-02-13T00:00:00Z,1841.1977507032906942
2021-02-14T00:00:00Z,1810.8425457323726278
2021-02-15T00:00:00Z,1804.9841464366497803
2021-02-16T00:00:00Z,1775.7583517018640578
2021-02-17T00:00:00Z,1782.5753090505934324
2021-02-18T00:00:00Z,1845.5739221567521327
2021-02-19T00:00:00Z,1938.5694368074616705
2021-02-20T00:00:00Z,1969.9797177628186091
2021-02-21T00:00:00Z,1929.3676928796649008
2021-02-22T00:00:00Z,1941.4267676797987860
2021-02-23T00:00:00Z,1788.6152102806424864
2021-02-24T00:00:00Z,1563.9246059011416037
2021-02-25T00:00:00Z,1628.3915337926550819
2021-02-26T00:00:00Z,1468.8601037286775863
2021-02-27T00:00:00Z,1450.9887468041190459
2021-02-28T00:00:00Z,1480.1295768477527872
2021-03-01T00:00:00Z,1416.6615528375650683
2021-03-02T00:00:00Z,1570.3996896340538569
2021-03-03T00:00:00Z,1497.0891042633872985
2021-03-04T00:00:00Z,1579.4271687603093142
2021-03-05T00:00:00Z,1546.4996211167372167
2021-03-06T00:00:00Z,1539.0484290947374575
2021-03-07T00:00:00Z,1661.9279698998157073
2021-03-08T00:00:00Z,1727.4630962245669252
2021-03-09T00:00:00Z,1837.5330305439451877
2021-03-10T00:00:00Z,1869.3311016254999686
2021-03-11T00:00:00Z,1802.3110916881178127
2021-03-12T00:00:00Z,1826.0574768119818145
2021-03-13T00:00:00Z,1770.9361793697751182
2021-03-14T00:00:00Z,1927.7207203999014382
2021-03-15T00:00:00Z,1866.0715447008808496
2021-03-16T00:00:00Z,1791.0478518301069926
2021-03-17T00:00:00Z,1808.5512173614395124
2021-03-18T00:00:00Z,1828.7548332342564663
2021-03-19T00:00:00Z,1780.1596459528504965
2021-03-20T00:00:00Z,1817.1329628084297383
2021-03-21T00:00:00Z,1817.8601431294944177
2021-03-22T00:00:00Z,1790.3780747526927826
2021-03-23T00:00:00Z,1686.8911971580416775
